country,country_code,region,oil_share,polity5,fh_political_rights,log_gdp_cap,log_population
Afghanistan,AFG,Asia,0.001,-1,2,6.320781281327119,17.35396248022591
Angola,AGO,Africa,10.372,-2,2,8.048114125939943,17.143577233382526
Albania,ALB,Europe,1.337,9,5,8.28218010962688,14.873544919547472
United Arab Emirates,ARE,Asia,13.121,-8,2,10.562648391336227,16.04152730070903
Argentina,ARG,Americas,0.712,9,6,9.531630833931786,17.579774950705943
Armenia,ARM,Asia,0,5,3,8.190711882442955,14.888996131499804
Australia,AUS,Oceania,0.206,10,7,10.945653328206475,16.98586797173483
Austria,AUT,Europe,0.033,10,7,10.696385439035998,15.972225476257695
Azerbaijan,AZE,Asia,12.07,-7,1,8.612559802799922,16.08240018082785
Burundi,BDI,Africa,0,-1,1,5.721986256177024,16.133972346565702
Belgium,BEL,Europe,0,8,7,10.621529684226134,16.238027132606476
Benin,BEN,Africa,0.057,7,6,6.98174589225858,16.174094248026304
Burkina Faso,BFA,Africa,0,6,4,6.4820781800533664,16.71200884363783
Bangladesh,BGD,Asia,0.029,1,4,7.129660712061097,18.867008082571306
Bulgaria,BGR,Europe,0.015,9,6,8.864277636442157,15.786530096857753
Bahrain,BHR,Asia,9.601,-10,1,10.027212263541324,14.131672938670619
Bahamas,BHS,Americas,0,NA,7,10.364051727223714,12.832545692822126
Bosnia & Herzegovina,BIH,Europe,0,NA,4,8.461614951677655,15.047884796009988
Belarus,BLR,Europe,0.44,-7,1,8.694008316243513,16.062696676631802
Belize,BLZ,Americas,0.79,NA,7,8.47745328880097,12.796428230152902
Bolivia,BOL,Americas,1.341,7,5,8.01828680215806,16.201492603779652
Brazil,BRA,Americas,1.077,8,6,9.084095488886433,19.13594042611124
Barbados,BRB,Americas,0.169,NA,7,9.714676873958249,12.561391169947747
Brunei,BRN,Asia,7.709,NA,2,10.34702002474255,12.935826548822295
Bhutan,BTN,Asia,0,5,5,7.920312159880683,13.49789834766775
Botswana,BWA,Africa,0,8,5,8.76450788214944,14.567264325477337
Central African Republic,CAF,Africa,0,0,1,5.9333663562635,15.31806924653127
Canada,CAN,Americas,0.038,10,7,10.682723790926165,17.390742700015092
Switzerland,CHE,Europe,0,10,7,11.34776943981343,15.929642856482122
Chile,CHL,Americas,0.02,10,7,9.510075311666313,16.704178420610607
China,CHN,Asia,0.336,-7,1,8.989248643605354,21.045247881693836
Côte d’Ivoire,CIV,Africa,0.394,4,4,7.58708021243073,16.960789270936658
Cameroon,CMR,Africa,2.039,-4,2,7.231655814763173,16.963894216535987
Congo - Kinshasa,COD,Africa,0.353,5,2,6.209227728309602,18.149456259404996
Congo - Brazzaville,COG,Africa,13.203,-4,2,7.8032405821790976,15.395744763103156
Colombia,COL,Americas,2.731,7,5,8.728406018592297,17.676675269115442
Comoros,COM,Africa,0,9,5,7.124949655275373,13.56375531825457
Cape Verde,CPV,Africa,0,10,7,8.020609462551027,13.170658180807635
Costa Rica,CRI,Americas,0,10,7,9.362441357046103,15.394036583150053
Cuba,CUB,Americas,0.447,-7,1,8.948197985716124,16.242503538190274
Cyprus,CYP,Asia,0,10,7,10.060847474553883,13.964781063373584
Czechia,CZE,Europe,0.01,9,7,9.788620791048695,16.171262793595115
Germany,DEU,Europe,0.011,10,7,10.623842629374268,18.21840066635147
Djibouti,DJI,Africa,0,3,2,7.8832628574993935,13.725583662250086
Denmark,DNK,Europe,0.393,10,7,10.882844278851595,15.553074806989798
Dominican Republic,DOM,Americas,0,8,5,8.84239076353733,16.14587374246157
Algeria,DZA,Africa,12.839,2,2,8.337561503642773,17.497567290153235
Ecuador,ECU,Americas,4.352,5,5,8.72005091148008,16.601263623748906
Egypt,EGY,Africa,3.093,-4,2,8.178339265057934,18.342097917633293
Eritrea,ERI,Africa,NA,-7,1,NA,NA
Spain,ESP,Europe,0.003,10,7,10.155893506234897,17.653775757615602
Estonia,EST,Europe,0.285,9,7,9.764342582530821,14.089656681410414
Ethiopia,ETH,Africa,0,-3,1,6.462314572864458,18.429000568033715
Finland,FIN,Europe,0,10,7,10.664337962742687,15.516530071320078
Fiji,FJI,Oceania,0,2,5,8.592433161067548,13.67467483929764
France,FRA,Europe,0.005,10,7,10.509248439612703,18.013438137028768
Gabon,GAB,Africa,9.948,3,2,8.907165666578978,14.482154612943887
United Kingdom,GBR,Europe,0.228,10,7,10.723367990718904,17.99168421593358
Georgia,GEO,Asia,0.04,7,5,8.297589852197987,15.130651501010707
Ghana,GHA,Africa,1.388,8,7,7.481034310191619,17.14231490633382
Guinea,GIN,Africa,0,4,3,6.6454231320615404,16.251935396037336
Gambia,GMB,Africa,0,-5,1,6.493335554567649,14.550691798196643
Guinea-Bissau,GNB,Africa,0,6,3,6.402579301778682,14.3677892091074
Equatorial Guinea,GNQ,Africa,12.704,-6,1,9.33108772223059,13.971295615753665
Greece,GRC,Europe,0.004,10,6,9.802776096879578,16.196988436185933
Guatemala,GTM,Americas,0.126,8,4,8.292707968684503,16.560690762567624
Guyana,GUY,Americas,0,7,6,8.626375049707557,13.550806458215996
Honduras,HND,Americas,0,7,4,7.741622382443491,16.025201989021372
Croatia,HRV,Europe,0.19,9,7,9.387094574677121,15.251452810538451
Haiti,HTI,Americas,0,0,3,7.234793289185621,16.185337390107613
Hungary,HUN,Europe,0.073,10,6,9.450986811905063,16.102273945268482
Indonesia,IDN,Asia,0.789,9,6,8.111236496906841,19.3699545328818
India,IND,Asia,0.355,9,6,7.381256188464714,20.993409297164682
Ireland,IRL,Europe,0,10,7,11.035091013526266,15.363489362995674
Iran,IRN,Asia,12.758,-7,2,8.55654481652597,18.178509916679428
Iraq,IRQ,Asia,36.214,6,3,8.45282916543956,17.387076931600593
Iceland,ISL,Europe,0,NA,7,10.877135107108698,12.709314585722742
Israel,ISR,Asia,0.008,6,7,10.485938799067224,15.94137040556129
Italy,ITA,Europe,0.047,10,7,10.31699973376842,17.921957951229782
Jamaica,JAM,Americas,0,9,6,8.498607016640147,14.87712132258976
Jordan,JOR,Asia,0.001,-3,2,8.334257550656947,16.041924182028
Japan,JPN,Asia,0.001,10,7,10.46197811862793,18.660807264786893
Kazakhstan,KAZ,Asia,6.768,-6,2,9.2601559044106,16.680154509308306
Kenya,KEN,Africa,0,9,4,7.289306044415566,17.6841737471584
Kyrgyzstan,KGZ,Asia,0.121,7,3,7.022050314282716,15.600060769496613
Cambodia,KHM,Asia,0,2,2,7.058676459494883,16.557732529785266
South Korea,KOR,Asia,0,8,6,10.265774805632763,17.74762922618088
Kuwait,KWT,Asia,37.075,-7,3,10.304594937989153,15.159833305671933
Laos,LAO,Asia,0,-7,1,7.668581819390408,15.723742574904735
Lebanon,LBN,Asia,0,6,3,8.941546615937238,15.692327983608823
Liberia,LBR,Africa,0,6,5,6.581444708042087,15.313397500019429
Libya,LBY,Africa,24.855,0,2,8.934645232421198,15.674666180158022
Sri Lanka,LKA,Asia,0,6,4,8.254211711189832,16.858603402878103
Lesotho,LSO,Africa,0,8,5,7.04408934234226,14.537736328394878
Lithuania,LTU,Europe,0.032,10,7,9.565491676179649,14.8819129667211
Luxembourg,LUX,Europe,0,10,7,11.566106096767554,13.252696661527155
Latvia,LVA,Europe,0,8,6,9.531441997621112,14.49735763213377
Morocco,MAR,Africa,0.002,-4,3,7.963897708034891,17.36120093377574
Moldova,MDA,Europe,0.014,9,5,7.912957848485005,14.857386696567714
Madagascar,MDG,Africa,0.071,6,5,6.1468332668540135,17.003270464915303
Maldives,MDV,Asia,0,NA,4,9.108685235175859,13.027863669079249
Mexico,MEX,Americas,1.566,8,5,9.171250788268091,18.618369050145926
North Macedonia,MKD,Europe,0,9,4,8.489113412991022,14.543168338025948
Mali,MLI,Africa,0,5,3,6.622035132942673,16.67420656112197
Malta,MLT,Europe,0,NA,7,10.12349032404457,13.005948655179997
Myanmar (Burma),MMR,Asia,0.206,2,2,7.0873592574070985,17.77976017810103
Montenegro,MNE,Europe,0,9,5,8.782198521170525,13.340950966063946
Mongolia,MNG,Asia,1.724,10,7,8.262383951257465,14.913600376835474
Mozambique,MOZ,Africa,0.04,5,4,6.379884256610001,17.112901807880352
Mauritania,MRT,Africa,0.552,-2,2,7.329141843540419,15.213314429823992
Mauritius,MUS,Africa,0,10,7,9.133507631279887,14.04868760499019
Malawi,MWI,Africa,0,6,5,5.941741040179584,16.63362847843692
Malaysia,MYS,Asia,1.878,5,4,9.205854598087177,17.22569956023868
Namibia,"NAM",Africa,0,6,6,8.496299482149356,14.654877480009207
Niger,NER,Africa,0.969,6,5,6.182401256157996,16.811325978061497
Nigeria,NGA,Africa,3.029,7,4,7.896359251545915,19.014766715385555
Nicaragua,NIC,Americas,0,9,4,7.625522711505171,15.643800265286952
Netherlands,NLD,Europe,0.027,10,7,10.718706408682307,16.645183701723305
Norway,NOR,Europe,3.151,10,7,11.21661313686436,15.461975818345426
Nepal,NPL,Asia,0,6,5,6.804336884777099,17.111904046803144
New Zealand,NZL,Oceania,0.2,10,7,10.561803264406374,15.343608254658527
Oman,OMN,Asia,21.387,-8,2,9.822544652423447,15.266501474608644
Pakistan,PAK,Asia,0.326,7,4,7.212786847746759,19.110958576868835
Panama,PAN,Americas,0,9,6,9.520050618891677,15.193896227666123
Peru,PER,Americas,0.243,9,6,8.736987247265315,17.23227740403175
Philippines,PHL,Asia,0.068,8,5,8.006715234443352,18.441592618551315
Papua New Guinea,PNG,Oceania,2.288,5,4,7.893328230051099,15.908333665783704
Poland,POL,Europe,0.029,10,7,9.439743926395995,17.452739074796696
North Korea,PRK,Asia,NA,-10,1,NA,17.041712759274855
Portugal,PRT,Europe,0,10,7,9.86527187412582,16.153277063262863
Paraguay,PRY,Americas,0,9,5,8.596702098911852,15.71593697058841
Qatar,QAT,Asia,12.488,-10,2,11.051510648070444,14.757745021891372
Romania,ROU,Europe,0.351,9,6,9.10154607000089,16.801980871683394
Russia,RUS,Europe,5.951,4,2,9.139168020562565,18.78599633970678
Rwanda,RWA,Africa,0,-3,2,6.621552785385006,16.24640671635431
Saudi Arabia,SAU,Asia,23.571,-10,1,9.934400863200768,17.272384685968646
Sudan,SDN,Africa,1.404,-4,1,7.689161582756253,17.476580589778905
Senegal,SEN,Africa,0,7,6,7.105990714895987,16.49505496887976
Singapore,SGP,Asia,0,-2,4,10.92677659559363,15.526602485461757
Solomon Islands,SLB,Oceania,0,8,5,7.681170708269505,13.309893015236122
Sierra Leone,SLE,Africa,0,7,5,6.3771160946113845,15.78568242539465
El Salvador,SLV,Americas,0,8,6,8.21759499068229,15.660039722829657
Somalia,SOM,Africa,0,5,1,5.956970967593054,16.439976520903866
South Sudan,SSD,Africa,8.525,0,1,7.0207726990347545,16.187216500922343
Suriname,SUR,Americas,2.632,5,6,9.123500306490818,13.234148014138764
Slovakia,SVK,Europe,0.002,10,7,9.701506993372531,15.506307419138757
Slovenia,SVN,Europe,0,10,7,9.947033821508692,14.539929151081072
Sweden,SWE,Europe,0,10,7,10.850219873764717,16.097809878966537
Eswatini,SWZ,Africa,0,-9,1,8.210762992099086,13.914484925516668
Syria,SYR,Asia,2.713,-9,1,6.88667916863369,16.705738472182098
Chad,TCD,Africa,7.526,-2,1,6.654177973833836,16.462463137903494
Togo,TGO,Africa,0,-2,4,6.347231521523904,15.806552759879631
Thailand,THA,Asia,0.535,-3,2,8.672495162575162,18.045471074019353
Tajikistan,TJK,Asia,0.046,-3,1,6.885923675509436,15.950152507563171
Turkmenistan,TKM,Asia,5.714,-8,1,8.769147354527497,15.532058394947752
Timor-Leste,TLS,Asia,24.394,8,5,7.195031160584917,13.994739002682069
Trinidad & Tobago,TTO,Americas,2.088,10,6,9.819210907165926,14.130563604212162
Tunisia,TUN,Africa,1.173,7,7,8.31748331478383,16.229632642855147
Tanzania,TZA,Africa,0,3,5,6.854284193464192,17.756755182580555
Uganda,UGA,Africa,0,-1,2,6.742016617511747,17.45901200362862
Ukraine,UKR,Europe,0.311,4,5,7.66136817627054,17.625590224751296
Uruguay,URY,Americas,0,10,7,9.65590695705784,15.042812997668511
United States,USA,Americas,0.008,10,7,10.946635217707641,19.58613824754317
Uzbekistan,UZB,Asia,0.521,-9,1,7.920799175311679,17.259093511122856
Venezuela,VEN,Americas,NA,4,3,NA,17.219431793233348
Vietnam,VNM,Asia,1.513,-7,1,7.856173333593371,18.344631772354333
Yemen,YEM,Asia,1.673,0,1,7.3788877477234305,17.092575325495147
South Africa,ZAF,Africa,0.005,9,6,8.74190985371919,17.82984407451159
Zambia,ZMB,Africa,0,7,5,7.1991486513441565,16.580531340452207
Zimbabwe,ZWE,Africa,0,4,3,7.275912836152716,16.44123960214214
